HashTableSize;Bucket;Count
100;0;80
100;1;100
100;2;100
100;3;109
100;4;90
100;5;126
100;6;108
100;7;94
100;8;90
100;9;94
100;10;118
100;11;100
100;12;93
100;13;107
100;14;115
100;15;101
100;16;100
100;17;100
100;18;108
100;19;92
100;20;92
100;21;97
100;22;85
100;23;81
100;24;103
100;25;109
100;26;80
100;27;88
100;28;107
100;29;100
100;30;109
100;31;98
100;32;103
100;33;89
100;34;113
100;35;102
100;36;96
100;37;99
100;38;103
100;39;100
100;40;108
100;41;89
100;42;103
100;43;85
100;44;112
100;45;134
100;46;84
100;47;109
100;48;102
100;49;98
100;50;112
100;51;121
100;52;96
100;53;106
100;54;94
100;55;104
100;56;82
100;57;95
100;58;98
100;59;93
100;60;96
100;61;79
100;62;87
100;63;101
100;64;125
100;65;97
100;66;81
100;67;98
100;68;97
100;69;113
100;70;107
100;71;107
100;72;93
100;73;131
100;74;103
100;75;95
100;76;97
100;77;109
100;78;116
100;79;95
100;80;100
100;81;99
100;82;99
100;83;102
100;84;99
100;85;97
100;86;105
100;87;97
100;88;91
100;89;100
100;90;92
100;91;104
100;92;91
100;93;102
100;94;94
100;95;118
100;96;86
100;97;97
100;98;101
100;99;95
200;0;56
200;1;36
200;2;54
200;3;43
200;4;47
200;5;58
200;6;49
200;7;54
200;8;57
200;9;43
200;10;40
200;11;46
200;12;57
200;13;53
200;14;36
200;15;41
200;16;51
200;17;63
200;18;52
200;19;52
200;20;54
200;21;58
200;22;49
200;23;49
200;24;52
200;25;35
200;26;59
200;27;69
200;28;43
200;29;42
200;30;57
200;31;42
200;32;50
200;33;52
200;34;49
200;35;31
200;36;50
200;37;69
200;38;49
200;39;44
200;40;58
200;41;44
200;42;57
200;43;48
200;44;48
200;45;44
200;46;54
200;47;46
200;48;35
200;49;43
200;50;54
200;51;43
200;52;59
200;53;64
200;54;54
200;55;48
200;56;49
200;57;61
200;58;51
200;59;57
200;60;43
200;61;44
200;62;46
200;63;40
200;64;56
200;65;29
200;66;45
200;67;51
200;68;47
200;69;43
200;70;45
200;71;61
200;72;45
200;73;55
200;74;48
200;75;45
200;76;49
200;77;56
200;78;46
200;79;56
200;80;44
200;81;64
200;82;53
200;83;44
200;84;56
200;85;57
200;86;46
200;87;42
200;88;50
200;89;40
200;90;51
200;91;53
200;92;40
200;93;44
200;94;50
200;95;48
200;96;43
200;97;52
200;98;44
200;99;48
200;100;58
200;101;36
200;102;55
200;103;40
200;104;45
200;105;51
200;106;55
200;107;74
200;108;45
200;109;47
200;110;50
200;111;57
200;112;57
200;113;37
200;114;45
200;115;33
200;116;44
200;117;60
200;118;41
200;119;39
200;120;36
200;121;55
200;122;60
200;123;46
200;124;44
200;125;52
200;126;52
200;127;55
200;128;45
200;129;48
200;130;42
200;131;65
200;132;65
200;133;48
200;134;49
200;135;57
200;136;57
200;137;54
200;138;51
200;139;52
200;140;42
200;141;55
200;142;56
200;143;60
200;144;49
200;145;60
200;146;49
200;147;59
200;148;43
200;149;44
200;150;52
200;151;39
200;152;58
200;153;50
200;154;45
200;155;48
200;156;52
200;157;54
200;158;44
200;159;54
200;160;52
200;161;45
200;162;76
200;163;52
200;164;50
200;165;67
200;166;45
200;167;58
200;168;40
200;169;52
200;170;56
200;171;52
200;172;67
200;173;57
200;174;41
200;175;56
200;176;50
200;177;61
200;178;51
200;179;49
200;180;42
200;181;46
200;182;64
200;183;45
200;184;44
200;185;55
200;186;41
200;187;60
200;188;49
200;189;46
200;190;53
200;191;44
200;192;48
200;193;59
