Bucket;Count
0;56
1;36
2;54
3;43
4;47
5;58
6;49
7;54
8;57
9;43
10;40
11;46
12;57
13;53
14;36
15;41
16;51
17;63
18;52
19;52
20;54
21;58
22;49
23;49
24;52
25;35
26;59
27;69
28;43
29;42
30;57
31;42
32;50
33;52
34;49
35;31
36;50
37;69
38;49
39;44
40;58
41;44
42;57
43;48
44;48
45;44
46;54
47;46
48;35
49;43
50;54
51;43
52;59
53;64
54;54
55;48
56;49
57;61
58;51
59;57
60;43
61;44
62;46
63;40
64;56
65;29
66;45
67;51
68;47
69;43
70;45
71;61
72;45
73;55
74;48
75;45
76;49
77;56
78;46
79;56
80;44
81;64
82;53
83;44
84;56
85;57
86;46
87;42
88;50
89;40
90;51
91;53
92;40
93;44
94;50
95;48
96;43
97;52
98;44
99;48
100;58
101;36
102;55
103;40
104;45
105;51
106;55
107;74
108;45
109;47
110;50
111;57
112;57
113;37
114;45
115;33
116;44
117;60
118;41
119;39
120;36
121;55
122;60
123;46
124;44
125;52
126;52
127;55
128;45
129;48
130;42
131;65
132;65
133;48
134;49
135;57
136;57
137;54
138;51
139;52
140;42
141;55
142;56
143;60
144;49
145;60
146;49
147;59
148;43
149;44
150;52
151;39
152;58
153;50
154;45
155;48
156;52
157;54
158;44
159;54
160;52
161;45
162;76
163;52
164;50
165;67
166;45
167;58
168;40
169;52
170;56
171;52
172;67
173;57
174;41
175;56
176;50
177;61
178;51
179;49
180;42
181;46
182;64
183;45
184;44
185;55
186;41
187;60
188;49
189;46
190;53
191;44
192;48
193;59
194;33
195;55
196;36
197;63
198;43
199;55
